iter	MultiClass
0	2.123238924
1	2.057405909
2	2.008674211
3	1.961910153
4	1.923393887
5	1.885927027
6	1.852164839
7	1.816166563
8	1.787916609
9	1.757944823
10	1.730830894
11	1.701354382
12	1.673481827
13	1.648532428
14	1.623632932
15	1.59884217
16	1.574405395
17	1.549325788
18	1.528594472
19	1.501041532
20	1.47845074
21	1.454385557
22	1.43316486
23	1.410301898
24	1.388293213
25	1.366228644
26	1.346873717
27	1.327999702
28	1.309304835
29	1.29099276
30	1.275462479
31	1.25831394
32	1.242592
33	1.226309348
34	1.209332186
35	1.192207756
36	1.176762739
37	1.16170591
38	1.147280859
39	1.13416075
40	1.120651807
41	1.106607069
42	1.093276086
43	1.080373447
44	1.06944531
45	1.058247016
46	1.046393739
47	1.034702037
48	1.023485795
49	1.012119315
50	1.001057264
51	0.9906265516
52	0.9800518404
53	0.9693619579
54	0.9599215581
55	0.9489885615
56	0.9393995122
57	0.9298406069
58	0.9211024468
59	0.9117590661
60	0.902735834
61	0.8935289305
62	0.8845362736
63	0.8741650424
64	0.8659598195
65	0.8572708827
66	0.8492908695
67	0.8410357979
68	0.833121746
69	0.8246482069
70	0.8166068341
71	0.8084378878
72	0.8006801528
73	0.7937199238
74	0.7860940276
75	0.778993214
76	0.7724919904
77	0.7658667763
78	0.7587857771
79	0.751181586
80	0.7448347054
81	0.7376511943
82	0.7308821094
83	0.724949246
84	0.7174576053
85	0.7117761627
86	0.7045416226
87	0.6981404515
88	0.6910374897
89	0.6846255158
90	0.678822846
91	0.6726834413
92	0.6667115816
93	0.6611533479
94	0.6555273819
95	0.6501922854
96	0.6445824729
97	0.6373979995
98	0.6324280721
99	0.6272810611
100	0.6219647482
101	0.6172336462
102	0.6115768724
103	0.6066744153
104	0.6012489031
105	0.5957266883
106	0.5909041685
107	0.5861311117
108	0.5814026158
109	0.5763237967
110	0.5720510384
111	0.5670963006
112	0.5624781587
113	0.5571984635
114	0.5531040637
115	0.548955467
116	0.5446721896
117	0.540724073
118	0.5358718822
119	0.5314994286
120	0.5271248481
121	0.5226317373
122	0.5176450843
123	0.5133525608
124	0.5094069488
125	0.506023696
126	0.5021347338
127	0.4982384918
128	0.4946962752
129	0.4914648447
130	0.48757444
131	0.4834594091
132	0.4798564796
133	0.4764695852
134	0.4733045725
135	0.4697547158
136	0.4655666108
137	0.4622976578
138	0.4591288411
139	0.4557056423
140	0.4524623006
141	0.4493319228
142	0.445465886
143	0.4423481607
144	0.4394862157
145	0.4360411152
146	0.4329152812
147	0.4294925063
148	0.4257499926
149	0.4219753421
150	0.4184810236
151	0.4157523066
152	0.412576826
153	0.4091176746
154	0.4063844918
155	0.4036214052
156	0.400834365
157	0.3979369299
158	0.3953258077
159	0.3927858213
160	0.3893592707
161	0.3866936512
162	0.3841235911
163	0.3810480729
164	0.3784019783
165	0.3757915937
166	0.3732848168
167	0.3707320908
168	0.3682436469
169	0.3654054227
170	0.363121909
171	0.360621237
172	0.3584158266
173	0.3561214884
174	0.3534056036
175	0.3508245583
176	0.3482597557
177	0.3458526683
178	0.3436355188
179	0.3414141273
180	0.3388055655
181	0.3364452024
182	0.3339152141
183	0.331740792
184	0.3291543954
185	0.3271407465
186	0.3246602862
187	0.3223634407
188	0.3202132198
189	0.3178733446
190	0.3159052158
191	0.3133945341
192	0.310786109
193	0.3087966381
194	0.3069642551
195	0.3047303148
196	0.302632143
197	0.3007463153
